Title,URL,Snippet,Date Published,Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iraq War | Summary, Causes, Dates, Combatants, Casualties, & Facts ...",https://www.britannica.com/event/Iraq-War,"Iraq War, (2003–11), conflict in Iraq that consisted of two phases. The first of these was a brief, conventionally fought war in March–April 2003, in which a combined force of troops from the United States and Great Britain (with smaller contingents from several other countries) invaded Iraq and rapidly defeated Iraqi military and paramilitary forces.",2024-08-09T00:00:00.0000000,"Our editors will review what you’ve submitted and determine whether to revise the article. Our editors will review what you’ve submitted and determine whether to revise the article. U.S. President George W. Bush argued that the vulnerability of the United States following the September 11 attacks of 2001, combined with Iraq’s alleged continued possession and manufacture of weapons of mass destruction and its support for terrorist groups, including al-Qaeda, justified the U.S.'s war with Iraq. The Iraq War, also called the Second Persian Gulf War, began on March 20, 2003. U.S. President George W. Bush argued for launching a military attack on Iraq. On March 17, 2003, Bush declared an end to diplomacy and issued an ultimatum to Saddam Hussein, giving the Iraqi president 48 hours to leave Iraq. Saddam refused, and the U.S. attacked on March 20. The U.S. military formally declared the end of the Iraq War in a ceremony in Baghdad on December 15, 2011, as U.S. troops prepared to withdraw from the country. Iraq War,  (2003–11), conflict in Iraq that consisted of two phases. The first of these was a brief, conventionally fought war in March–April 2003, in which a combined force of troops from the United States and Great Britain (with smaller contingents from several other countries) invaded Iraq and rapidly defeated Iraqi military and paramilitary forces. It was followed by a longer second phase in which a U.S.-led occupation of Iraq was opposed by an insurgency. After violence began to decline in 2007, the United States gradually reduced its military presence in Iraq, formally completing its withdrawal in December 2011. American military casualties in the conflict included some 4,500 service members killed and some 32,000 others wounded. (Read Britannica’s interview with Jimmy Carter on the Iraq War and world affairs.) Iraq’s invasion of Kuwait in 1990 ended in Iraq’s defeat by a U.S.-led coalition in the Persian Gulf War (1990–91). However, the Iraqi branch of the Baʿath Party, headed by Saddam Hussein, managed to retain power by harshly suppressing uprisings of the country’s minority Kurds and its majority Shiʿi Arabs. To stem the exodus of Kurds from Iraq, the allies established a “safe haven” in northern Iraq’s predominantly Kurdish regions, and allied warplanes patrolled “no-fly” zones in northern and southern Iraq that were off-limits to Iraqi aircraft. Moreover, to restrain future Iraqi aggression, the United Nations (UN) implemented economic sanctions against Iraq in order to, among other things, hinder the progress of its most lethal arms programs, including those for the development of nuclear, biological, and chemical weapons. (See weapon of mass destruction.) UN inspections during the mid-1990s uncovered a variety of proscribed weapons and prohibited technology throughout Iraq. That country’s continued flouting of the UN weapons ban and its repeated interference with the inspections frustrated the international community and led U.S. Pres. Bill Clinton in 1998 to order the bombing of several Iraqi military installations (code-named Operation Desert Fox). After the bombing, however, Iraq refused to allow inspectors to reenter the country, and during the next several years the economic sanctions slowly began to erode as neighboring countries sought to reopen trade with Iraq. In 2002 the new U.S. president, George W. Bush, argued that the vulnerability of the United States following the September 11 attacks of 2001, combined with Iraq’s alleged continued possession and manufacture of weapons of mass destruction (an accusation that was later proved erroneous) and its support for terrorist groups—which, according to the Bush administration, included al-Qaeda, the perpetrators of the September 11 attacks—made disarming Iraq a renewed priority. UN Security Council Resolution 1441, passed on November 8, 2002, demanded that Iraq readmit inspectors and that it comply with all previous resolutions. Iraq appeared to comply with the resolution, but in early 2003 President Bush and British Prime Minister Tony Blair declared that Iraq was actually continuing to hinder UN inspections and that it still retained proscribed weapons. Other world leaders, such as French Pres. Jacques Chirac and German Chancellor Gerhard Schröder, citing what they believed to be increased Iraqi cooperation, sought to extend inspections and give Iraq more time to comply with them. However, on March 17, seeking no further UN resolutions and deeming further diplomatic efforts by the Security Council futile, Bush declared an end to diplomacy and issued an ultimatum to Saddam, giving the Iraqi president 48 hours to leave Iraq. The leaders of France, Germany, Russia, and other countries objected to this buildup toward war. When Saddam refused to leave Iraq, U.S. and allied forces launched an attack on the morning of March 20; it began when U.S. aircraft dropped several precision-guided bombs on a bunker complex in which the Iraqi president was believed to be meeting with senior staff. This was followed by a series of air strikes directed against government and military installations, and within days U.S. forces had invaded Iraq from Kuwait in the south (U.S. Special Forces had previously been deployed to Kurdish-controlled areas in the north). Despite fears that Iraqi forces would engage in a scorched-earth policy—destroying bridges and dams and setting fire to Iraq’s southern oil wells—little damage was done by retreating Iraqi forces; in fact, large numbers of Iraqi troops simply chose not to resist the advance of coalition forces. In southern Iraq the greatest resistance to U.S. forces as they advanced northward was from irregular groups of Baʿath Party supporters, known as Saddam’s Fedayeen. British forces—which had deployed around the southern city of Basra—faced similar resistance from paramilitary and irregular fighters. In central Iraq units of the Republican Guard—a heavily armed paramilitary group connected with the ruling party—were deployed to defend the capital of Baghdad. As U.S. Army and Marine forces advanced northwestward up the Tigris-Euphrates river valley, they bypassed many populated areas where Fedayeen resistance was strongest and were slowed only on March 25 when inclement weather and an extended supply line briefly forced them to halt their advance within 60 miles (95 km) of Baghdad. During the pause, U.S. aircraft inflicted heavy damage on Republican Guard units around the capital. U.S. forces resumed their advance within a week, and on April 4 they took control of Baghdad’s international airport. Iraqi resistance, though at times vigorous, was highly disorganized, and over the next several days army and Marine Corps units staged raids into the heart of the city. On April 9 resistance in Baghdad collapsed, and U.S. soldiers took control of the city. On that same day Basra was finally secured by British forces, which had entered the city several days earlier. In the north, however, plans to open up another major front had been frustrated when the Turkish government refused to allow mechanized and armored U.S. Army units to pass through Turkey to deploy in northern Iraq. Regardless, a regiment of American paratroopers did drop into the area, and U.S. Special Forces soldiers joined with Kurdish peshmerga fighters to seize the northern cities of Kirkuk on April 10 and Mosul on April 11. Saddam’s hometown of Tikrīt, the last major stronghold of the regime, fell with little resistance on April 13. Isolated groups of regime loyalists continued to fight on subsequent days, but the U.S. president declared an end to major combat on May 1. Iraqi leaders fled into hiding and were the object of an intense search by U.S. forces. Saddam Hussein was captured on December 13, 2003, five months after his two sons, Uday and Qusay Hussein, who were central figures in their father’s brutal 24-year rule, had been killed in a shoot-out with American troops after the brothers had been found hiding in a private residence. Saddam was subsequently convicted of crimes against humanity and was executed on December 30, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Troops in Iraq Are Wounded in Rocket Attack on Air Base,https://www.nytimes.com/2024/08/05/world/middleeast/iraq-us-troops-iran-attack.html,"Aug. 5, 2024. A rocket attack targeting U.S. personnel housed at a base in Iraq’s western desert injured several American troops late on Monday, according to U.S. defense officials. The attack ...",2024-08-05T00:00:00.0000000,Please enable JS and disable any ad blocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf War - Wikipedia,https://en.wikipedia.org/wiki/Gulf_War,"t. e. The Gulf War was an armed conflict between Iraq and a 42-country coalition led by the United States. The coalition's efforts against Iraq were carried out in two key phases: Operation Desert Shield, which marked the military buildup from August 1990 to January 1991; and Operation Desert Storm, which began with the aerial bombing campaign ...",2024-08-15T00:00:00.0000000,"
 Coalition:292 killed (147 killed by enemy action, 145 non-hostile deaths)776 wounded[5] (467 wounded in action)31 tanks destroyed/disabled[6][7][8][9][10][11][12][13]28 Bradley IFVs destroyed/damaged[14][15]1 M113 APC destroyed2 British Warrior APCs destroyed1 artillery piece destroyed75 aircraft destroyed[citation needed]Kuwait:420 killed
12,000 captured
≈200 tanks destroyed/captured
850+ other armored vehicles destroyed/captured
57 aircraft lost
8 aircraft captured (Mirage F1s)
 Coalition intervention
 Naval operations
 Air campaign
 Liberation of Kuwait
 Post-ceasefire
 The Gulf War was an armed conflict between Iraq and a 42-country coalition led by the United States. The coalition's efforts against Iraq were carried out in two key phases: Operation Desert Shield, which marked the military buildup from August 1990 to January 1991; and Operation Desert Storm, which began with the aerial bombing campaign against Iraq on 17 January 1991 and came to a close with the American-led liberation of Kuwait on 28 February 1991.
 On 2 August 1990, Iraq, governed by President Saddam Hussein, invaded neighboring Kuwait and fully occupied the country within two days. The invasion was primarily over disputes regarding Kuwait's alleged slant drilling in Iraq's Rumaila oil field, as well as to cancel Iraq's large debt to Kuwait from the recently ended Iran-Iraq War. After Iraq briefly occupied Kuwait under a rump puppet government known as the ""Republic of Kuwait"", it split Kuwait's sovereign territory into the ""Saddamiyat al-Mitla' District"" in the north, which was absorbed into Iraq's existing Basra Governorate, and the ""Kuwait Governorate"" in the south, which became Iraq's 19th governorate. The invasion of Kuwait was immediately met with international condemnation, including UN Security Council Resolution 660, which demanded Iraq's immediate withdrawal from Kuwait, and the imposition of comprehensive international sanctions against Iraq with the adoption of UN Security Council Resolution 661. British prime minister Margaret Thatcher and American president George H. W. Bush deployed troops and equipment into Saudi Arabia and urged other countries to send their own forces. An array of countries joined the American-led coalition, forming the largest military alliance since World War II. The bulk of the coalition's military power was from the United States, with Saudi Arabia, the United Kingdom, and Egypt as the largest lead-up contributors, in that order. Additionally, Saudi Arabia and the Kuwaiti government-in-exile paid out around US$32 billion of the US$60 billion cost to mobilize the coalition against Iraq.
 UN Security Council Resolution 678, adopted on 29 November 1990, offered Iraq one final chance until 15 January 1991 to implement Resolution 660 and withdraw from Kuwait; it further empowered states after the deadline to use ""all necessary means"" to force Iraq out of Kuwait. Initial efforts to dislodge the Iraqis from Kuwait began with aerial and naval bombardment of Iraq on 17 January, which continued for five weeks. As the Iraqi military struggled against the coalition attacks, Iraq fired missiles at Israel to provoke an Israeli military response, with the expectation that such a response would lead to the withdrawal of several Muslim-majority countries from the coalition. The provocation was unsuccessful; Israel did not retaliate and Iraq continued to remain at odds with most Muslim-majority countries. Iraqi missile barrages against coalition targets in Saudi Arabia were also largely unsuccessful, and on 24 February 1991, the coalition launched a major ground assault into Iraqi-occupied Kuwait. The offensive was a decisive victory for the coalition, who liberated Kuwait and promptly began to advance past the Iraq–Kuwait border into Iraqi territory. A hundred hours after the beginning of the ground campaign, the coalition ceased its advance into Iraq and declared a ceasefire. Aerial and ground combat was confined to Iraq, Kuwait, and areas straddling the Iraq–Saudi Arabia border.
 The conflict marked the introduction of live news broadcasts from the front lines of the battle, principally by the American network CNN. It has also earned the nickname Video Game War, after the daily broadcast of images from cameras onboard American military aircraft during Operation Desert Storm. The Gulf War has also gained fame for some of the largest tank battles in American military history: the Battle of Medina Ridge, the Battle of Norfolk, and the Battle of 73 Easting.
 The war is also known under other names, such as The Second Gulf War, Persian Gulf War, Kuwait War, First Iraq War, or Iraq War[27][28][29][b] before the term ""Iraq War"" became identified instead with the 2003 Iraq War (also referred to in the U.S. as ""Operation Iraqi Freedom"").[30] The war was named Umm al-Ma'arik (""mother of all battles"") by Iraqi officials.[31] After the U.S. invasion of Iraq in 2003, the Gulf War of 1990–1991 is often known as the ""First Iraq War"".[32]
 The following names have been used to describe the conflict itself:
Gulf War and Persian Gulf War are the most common terms for the conflict used within western countries, though it may also be called the First Gulf War (to distinguish it from the 2003 invasion of Iraq and the subsequent Iraq War). Some authors have called it the Second Gulf War to distinguish it from the Iran–Iraq War.[33] Liberation of Kuwait (Arabic: تحرير الكويت) (taḥrīr al-kuwayt) is the term used by Kuwait and most of the coalition's Arab states, including Saudi Arabia, Bahrain, Egypt, and the United Arab Emirates. Terms in other languages include French: la Guerre du Golfe and Guerre du Koweït (War of Kuwait); German: Golfkrieg (Gulf War) and Zweiter Golfkrieg (Second Gulf War).[citation needed]
 Most of the coalition states used various names for their operations and the war's operational phases. These are sometimes incorrectly used as the conflict's overall name, especially the US Desert Storm:
 The US divided the conflict into three major campaigns:
 Throughout the Cold War, Iraq had been an ally of the Soviet Union, and there was a history of friction between Iraq and the United States.[36] The US was concerned with Iraq's position on Israeli–Palestinian politics. The US also disliked Iraqi support for Palestinian militant groups, which led to Iraq's inclusion on the developing US list of State Sponsors of Terrorism in December 1979.[37]
 The US remained officially neutral after Iraq's invasion of Iran in 1980, which became the Iran–Iraq War, although it provided resources, political support, and some ""non-military"" aircraft to Iraq.[38] In March 1982, Iran began a successful counteroffensive (Operation Undeniable Victory), and the US increased its support for Iraq to prevent Iran from forcing a surrender. In a US bid to open full diplomatic relations with Iraq, the country was removed from the US list of State Sponsors of Terrorism.[39] Ostensibly, this was because of improvement in the regime's record, although former US Assistant Defense Secretary Noel Koch later stated: ""No one had any doubts about [the Iraqis'] continued involvement in terrorism ... The real reason was to help them succeed in the war against Iran.""[40][41]
 With Iraq's newfound success in the war, and the Iranian rebuff of a peace offer in July, arms sales to Iraq reached a record spike in 1982. When Iraqi President Saddam Hussein expelled Abu Nidal to Syria at the US's request in November 1983, the Reagan administration sent Donald Rumsfeld to meet Saddam as a special envoy and to cultivate ties. By the time the ceasefire with Iran was signed in August 1988, Iraq was heavily debt-ridden and tensions within society were rising.[42] Most of its debt was owed to Saudi Arabia and Kuwait.[43] Iraq's debts to Kuwait amounted to $14 billion.[44] Iraq pressured both nations to forgive the debts, but they refused.[43][45]
 The Iraq–Kuwait border dispute involved Iraqi claims to Kuwaiti territory.[38] Kuwait had been a part of the Ottoman Empire's province of Basra, something that Iraq claimed made Kuwait rightful Iraqi territory.[46] Kuwait's ruling dynasty, the al-Sabah family, had concluded a protectorate agreement in 1899 that assigned responsibility for Kuwait's foreign affairs to the United Kingdom. The UK drew the border between Kuwait and Iraq in 1922, making Iraq almost entirely landlocked.[38] Kuwait rejected Iraqi attempts to secure further provisions in the region.[46]
 Iraq also accused Kuwait of exceeding its OPEC quotas for oil production.[47] In order for the cartel to maintain its desired price of $18 per barrel, discipline was required. The United Arab Emirates and Kuwait were consistently overproducing; the latter at least in part to repair losses caused by Iranian attacks in the Iran–Iraq War and to pay for the losses of an economic scandal. The result was a slump in the oil price – as low as $10 per barrel ($63/m3) – with a resulting loss of $7 billion a year to Iraq, equal to its 1989 balance of payments deficit.[48] Resulting revenues struggled to support the government's basic costs, let alone repair Iraq's damaged infrastructure. Jordan and Iraq both looked for more discipline, with little success.[49] The Iraqi government described it as a form of economic warfare,[49] which it claimed was aggravated by Kuwait slant-drilling across the border into Iraq's Rumaila oil field.[50] According to oil workers in the area, Iraq's slant drilling claim was fabricated, as ""oil flows easily from the Rumaila field without any need for these techniques.""[51] At the same time, Saddam looked for closer ties with those Arab states that had supported Iraq in the war. This move was supported by the US, who believed that Iraqi ties with pro-Western Gulf states would help bring and maintain Iraq inside the US' sphere of influence.[52]
 In 1989, it appeared that Saudi–Iraqi relations, strong during the war, would be maintained. A pact of non-interference and non-aggression was signed between the countries, followed by a Kuwaiti-Iraqi deal for Iraq to supply Kuwait with water for drinking and irrigation, although a request for Kuwait to lease Iraq Umm Qasr was rejected.[52] Saudi-backed development projects were hampered by Iraq's large debts, even with the demobilization of 200,000 soldiers. Iraq also looked to increase arms production so as to become an exporter, although the success of these projects was also restrained by Iraq's obligations; in Iraq, resentment to OPEC's controls mounted.[53]
